Namespace(epoch=0, n_epochs=200, batchSize=10, dataroot='./images/', lr=0.0002, decay_epoch=100, size=256, input_nc=3, output_nc=3, cuda=True, n_cpu=4)

Epoch 001/200 [0031/0087] -- loss_G: 21.3802 | loss_G_identity: 6.4961 | loss_G_GAN: 0.9569 | loss_G_cycle: 13.9271 | loss_D: 0.0740 -- ETA: 6:20:38.694973
Epoch 001/200 [0032/0087] -- loss_G: 20.8560 | loss_G_identity: 6.3176 | loss_G_GAN: 0.9932 | loss_G_cycle: 13.5452 | loss_D: 0.0756 -- ETA: 6:20:09.088859
Epoch 001/200 [0033/0087] -- loss_G: 20.2655 | loss_G_identity: 6.1393 | loss_G_GAN: 0.9632 | loss_G_cycle: 13.1630 | loss_D: 0.0857 -- ETA: 6:19:38.247511
Epoch 001/200 [0034/0087] -- loss_G: 19.7888 | loss_G_identity: 5.9697 | loss_G_GAN: 1.0192 | loss_G_cycle: 12.7999 | loss_D: 0.0956 -- ETA: 6:19:28.857647
Epoch 001/200 [0035/0087] -- loss_G: 19.2555 | loss_G_identity: 5.8072 | loss_G_GAN: 0.9930 | loss_G_cycle: 12.4553 | loss_D: 0.0998 -- ETA: 6:19:04.935667
Epoch 001/200 [0036/0087] -- loss_G: 18.7978 | loss_G_identity: 5.6522 | loss_G_GAN: 1.0205 | loss_G_cycle: 12.1251 | loss_D: 0.1001 -- ETA: 6:19:19.789534
Epoch 001/200 [0037/0087] -- loss_G: 18.3214 | loss_G_identity: 5.5050 | loss_G_GAN: 1.0044 | loss_G_cycle: 11.8120 | loss_D: 0.1001 -- ETA: 6:19:35.115729
Epoch 001/200 [0038/0087] -- loss_G: 17.9027 | loss_G_identity: 5.3695 | loss_G_GAN: 1.0083 | loss_G_cycle: 11.5249 | loss_D: 0.0985 -- ETA: 6:19:14.641530
Epoch 001/200 [0039/0087] -- loss_G: 17.4835 | loss_G_identity: 5.2376 | loss_G_GAN: 1.0004 | loss_G_cycle: 11.2455 | loss_D: 0.0966 -- ETA: 6:18:49.893286
Epoch 001/200 [0040/0087] -- loss_G: 17.0874 | loss_G_identity: 5.1121 | loss_G_GAN: 0.9967 | loss_G_cycle: 10.9786 | loss_D: 0.0945 -- ETA: 6:18:43.074531
Epoch 001/200 [0041/0087] -- loss_G: 16.7112 | loss_G_identity: 4.9920 | loss_G_GAN: 0.9950 | loss_G_cycle: 10.7242 | loss_D: 0.0925 -- ETA: 6:18:27.959943
Epoch 001/200 [0042/0087] -- loss_G: 16.3494 | loss_G_identity: 4.8784 | loss_G_GAN: 0.9877 | loss_G_cycle: 10.4833 | loss_D: 0.0909 -- ETA: 6:17:48.396421
Epoch 001/200 [0043/0087] -- loss_G: 16.0159 | loss_G_identity: 4.7721 | loss_G_GAN: 0.9858 | loss_G_cycle: 10.2580 | loss_D: 0.0890 -- ETA: 6:17:38.453251
Epoch 001/200 [0044/0087] -- loss_G: 15.7028 | loss_G_identity: 4.6733 | loss_G_GAN: 0.9793 | loss_G_cycle: 10.0501 | loss_D: 0.0873 -- ETA: 6:17:15.867192
Epoch 001/200 [0045/0087] -- loss_G: 15.3944 | loss_G_identity: 4.5744 | loss_G_GAN: 0.9793 | loss_G_cycle: 9.8407 | loss_D: 0.0857 -- ETA: 6:16:49.807547
Epoch 001/200 [0046/0087] -- loss_G: 15.0925 | loss_G_identity: 4.4789 | loss_G_GAN: 0.9747 | loss_G_cycle: 9.6389 | loss_D: 0.0841 -- ETA: 6:16:42.970025
Epoch 001/200 [0047/0087] -- loss_G: 14.8073 | loss_G_identity: 4.3886 | loss_G_GAN: 0.9711 | loss_G_cycle: 9.4476 | loss_D: 0.0828 -- ETA: 6:16:37.659038
Epoch 001/200 [0048/0087] -- loss_G: 14.5437 | loss_G_identity: 4.3029 | loss_G_GAN: 0.9751 | loss_G_cycle: 9.2657 | loss_D: 0.0816 -- ETA: 6:16:24.079757
Epoch 001/200 [0049/0087] -- loss_G: 14.2794 | loss_G_identity: 4.2193 | loss_G_GAN: 0.9655 | loss_G_cycle: 9.0946 | loss_D: 0.0807 -- ETA: 6:15:52.230925
Epoch 001/200 [0050/0087] -- loss_G: 14.0447 | loss_G_identity: 4.1407 | loss_G_GAN: 0.9730 | loss_G_cycle: 8.9310 | loss_D: 0.0794 -- ETA: 6:15:34.684019
Epoch 001/200 [0051/0087] -- loss_G: 13.8100 | loss_G_identity: 4.0661 | loss_G_GAN: 0.9719 | loss_G_cycle: 8.7719 | loss_D: 0.0782 -- ETA: 6:15:20.247505
Epoch 001/200 [0052/0087] -- loss_G: 13.5706 | loss_G_identity: 3.9916 | loss_G_GAN: 0.9649 | loss_G_cycle: 8.6141 | loss_D: 0.0772 -- ETA: 6:15:04.264523
Epoch 001/200 [0053/0087] -- loss_G: 13.3624 | loss_G_identity: 3.9217 | loss_G_GAN: 0.9703 | loss_G_cycle: 8.4704 | loss_D: 0.0762 -- ETA: 6:14:42.330883
Epoch 001/200 [0054/0087] -- loss_G: 13.1490 | loss_G_identity: 3.8558 | loss_G_GAN: 0.9644 | loss_G_cycle: 8.3288 | loss_D: 0.0752 -- ETA: 6:15:13.123370
Epoch 001/200 [0055/0087] -- loss_G: 12.9468 | loss_G_identity: 3.7899 | loss_G_GAN: 0.9692 | loss_G_cycle: 8.1877 | loss_D: 0.0744 -- ETA: 6:14:48.829840
Epoch 001/200 [0056/0087] -- loss_G: 12.7437 | loss_G_identity: 3.7258 | loss_G_GAN: 0.9641 | loss_G_cycle: 8.0537 | loss_D: 0.0735 -- ETA: 6:14:17.453816
Epoch 001/200 [0057/0087] -- loss_G: 12.5603 | loss_G_identity: 3.6651 | loss_G_GAN: 0.9659 | loss_G_cycle: 7.9293 | loss_D: 0.0724 -- ETA: 6:14:19.146062
Epoch 001/200 [0058/0087] -- loss_G: 12.3764 | loss_G_identity: 3.6077 | loss_G_GAN: 0.9630 | loss_G_cycle: 7.8056 | loss_D: 0.0713 -- ETA: 6:14:56.311179
Epoch 001/200 [0059/0087] -- loss_G: 12.2006 | loss_G_identity: 3.5519 | loss_G_GAN: 0.9623 | loss_G_cycle: 7.6864 | loss_D: 0.0703 -- ETA: 6:15:06.237983
Epoch 001/200 [0060/0087] -- loss_G: 12.0224 | loss_G_identity: 3.4960 | loss_G_GAN: 0.9576 | loss_G_cycle: 7.5688 | loss_D: 0.0693 -- ETA: 6:15:23.011306
Epoch 001/200 [0061/0087] -- loss_G: 11.8694 | loss_G_identity: 3.4442 | loss_G_GAN: 0.9614 | loss_G_cycle: 7.4639 | loss_D: 0.0688 -- ETA: 6:15:23.550846
Epoch 001/200 [0062/0087] -- loss_G: 11.7027 | loss_G_identity: 3.3935 | loss_G_GAN: 0.9540 | loss_G_cycle: 7.3552 | loss_D: 0.0687 -- ETA: 6:15:20.025449
Epoch 001/200 [0063/0087] -- loss_G: 11.5560 | loss_G_identity: 3.3446 | loss_G_GAN: 0.9615 | loss_G_cycle: 7.2499 | loss_D: 0.0688 -- ETA: 6:15:05.960253
Epoch 001/200 [0064/0087] -- loss_G: 11.3907 | loss_G_identity: 3.2953 | loss_G_GAN: 0.9498 | loss_G_cycle: 7.1455 | loss_D: 0.0693 -- ETA: 6:15:03.620295
Epoch 001/200 [0065/0087] -- loss_G: 11.2534 | loss_G_identity: 3.2481 | loss_G_GAN: 0.9572 | loss_G_cycle: 7.0481 | loss_D: 0.0697 -- ETA: 6:14:43.039118
Epoch 001/200 [0066/0087] -- loss_G: 11.1007 | loss_G_identity: 3.2020 | loss_G_GAN: 0.9482 | loss_G_cycle: 6.9505 | loss_D: 0.0706 -- ETA: 6:14:27.729125
Epoch 001/200 [0067/0087] -- loss_G: 10.9625 | loss_G_identity: 3.1574 | loss_G_GAN: 0.9503 | loss_G_cycle: 6.8548 | loss_D: 0.0702 -- ETA: 6:14:39.732407
Epoch 001/200 [0068/0087] -- loss_G: 10.8230 | loss_G_identity: 3.1135 | loss_G_GAN: 0.9456 | loss_G_cycle: 6.7640 | loss_D: 0.0699 -- ETA: 6:14:35.112490
Epoch 001/200 [0069/0087] -- loss_G: 10.6847 | loss_G_identity: 3.0705 | loss_G_GAN: 0.9407 | loss_G_cycle: 6.6735 | loss_D: 0.0694 -- ETA: 6:14:50.809699
Epoch 001/200 [0070/0087] -- loss_G: 10.5532 | loss_G_identity: 3.0287 | loss_G_GAN: 0.9385 | loss_G_cycle: 6.5861 | loss_D: 0.0688 -- ETA: 6:14:51.753471
Epoch 001/200 [0071/0087] -- loss_G: 10.4235 | loss_G_identity: 2.9882 | loss_G_GAN: 0.9339 | loss_G_cycle: 6.5014 | loss_D: 0.0685 -- ETA: 6:14:41.872250
Epoch 001/200 [0072/0087] -- loss_G: 10.3001 | loss_G_identity: 2.9490 | loss_G_GAN: 0.9301 | loss_G_cycle: 6.4210 | loss_D: 0.0680 -- ETA: 6:14:10.824129
Epoch 001/200 [0073/0087] -- loss_G: 10.1819 | loss_G_identity: 2.9105 | loss_G_GAN: 0.9275 | loss_G_cycle: 6.3439 | loss_D: 0.0676 -- ETA: 6:13:55.751920
Epoch 001/200 [0074/0087] -- loss_G: 10.0634 | loss_G_identity: 2.8745 | loss_G_GAN: 0.9207 | loss_G_cycle: 6.2682 | loss_D: 0.0672 -- ETA: 6:13:53.718442
Epoch 001/200 [0075/0087] -- loss_G: 9.9497 | loss_G_identity: 2.8389 | loss_G_GAN: 0.9172 | loss_G_cycle: 6.1936 | loss_D: 0.0672 -- ETA: 6:13:34.291283
Epoch 001/200 [0076/0087] -- loss_G: 9.8342 | loss_G_identity: 2.8032 | loss_G_GAN: 0.9106 | loss_G_cycle: 6.1203 | loss_D: 0.0670 -- ETA: 6:13:03.042646
Epoch 001/200 [0077/0087] -- loss_G: 9.7227 | loss_G_identity: 2.7681 | loss_G_GAN: 0.9069 | loss_G_cycle: 6.0476 | loss_D: 0.0669 -- ETA: 6:12:31.706322
Epoch 001/200 [0078/0087] -- loss_G: 9.6062 | loss_G_identity: 2.7338 | loss_G_GAN: 0.8967 | loss_G_cycle: 5.9757 | loss_D: 0.0677 -- ETA: 6:12:22.820451
Epoch 001/200 [0079/0087] -- loss_G: 9.5035 | loss_G_identity: 2.7001 | loss_G_GAN: 0.8954 | loss_G_cycle: 5.9081 | loss_D: 0.0680 -- ETA: 6:11:49.853824
Epoch 001/200 [0080/0087] -- loss_G: 9.3953 | loss_G_identity: 2.6674 | loss_G_GAN: 0.8881 | loss_G_cycle: 5.8398 | loss_D: 0.0682 -- ETA: 6:11:40.871119
Epoch 001/200 [0081/0087] -- loss_G: 9.2927 | loss_G_identity: 2.6356 | loss_G_GAN: 0.8850 | loss_G_cycle: 5.7721 | loss_D: 0.0688 -- ETA: 6:11:48.905759
